ticker,date,pattern,setup_score,entry,result_pct,exit_reason,hold_days,bande
OVH.PA,2024-09-19,pocket_pivot,40.7,6.36,-0.06,stop,4,40-45
OVH.PA,2024-09-26,pocket_pivot,39.4,6.68,-0.0269,horizon,10,35-40
OVH.PA,2024-10-17,pocket_pivot,40.7,7.16,0.12,objectif,5,40-45
OVH.PA,2026-04-17,pocket_pivot,35.4,10.09,0.0793,horizon,10,35-40
HO.PA,2025-02-13,pocket_pivot,35.1,162.95,0.12,objectif,3,35-40
HO.PA,2025-05-30,pocket_pivot,37.2,267.4,-0.06,stop,7,35-40
AI.PA,2025-02-21,pocket_pivot,37.9,178.4,0.0107,horizon,10,35-40
AI.PA,2026-02-20,double_bottom,39.4,175.56,-0.047,horizon,10,35-40
AI.PA,2026-04-08,double_bottom,36.5,183.44,0.0152,horizon,10,35-40
LR.PA,2024-09-19,pocket_pivot,35.4,104.6,-0.0382,horizon,10,35-40
LR.PA,2025-07-17,pocket_pivot,39.9,121.55,0.0691,horizon,10,35-40
LR.PA,2025-07-31,pocket_pivot,39.6,129.95,0.0158,horizon,10,35-40
LR.PA,2025-09-10,pocket_pivot,35.4,137.5,0.0393,horizon,10,35-40
LR.PA,2026-05-06,pocket_pivot,35.4,160.1,-0.06,stop,8,35-40
REPL,2024-08-29,pocket_pivot,36.8,11.06,-0.06,stop,1,35-40
REPL,2024-11-06,pocket_pivot,36.4,12.7,-0.06,stop,4,35-40
REPL,2025-02-20,pocket_pivot,36.1,14.31,-0.06,stop,3,35-40
REPL,2025-07-21,pocket_pivot,35.1,12.32,-0.06,stop,1,35-40
REPL,2025-12-02,pocket_pivot,40.5,10.0,-0.039,horizon,10,40-45
SPCE,2025-09-23,double_bottom,36.0,3.75,-0.06,stop,2,35-40
DELL,2024-10-30,pocket_pivot,39.1,129.4,0.0396,horizon,10,35-40
DELL,2025-06-20,double_bottom,36.9,119.37,0.0452,horizon,10,35-40
DELL,2025-07-18,pocket_pivot,37.1,131.24,-0.06,stop,2,35-40
DELL,2025-08-28,pocket_pivot,36.1,134.05,-0.06,stop,1,35-40
DELL,2025-10-06,pocket_pivot,35.6,145.76,0.12,objectif,2,35-40
OKTA,2025-01-28,pocket_pivot,37.9,94.93,0.009,horizon,10,35-40
OKTA,2026-05-28,pocket_pivot,38.7,94.72,0.12,objectif,1,35-40
MX,2025-07-18,flat_base,37.9,4.32,-0.06,stop,5,35-40
MX,2026-01-21,pocket_pivot,39.3,3.12,-0.06,stop,3,35-40
MX,2026-04-15,pocket_pivot,40.4,3.18,0.12,objectif,4,40-45
MX,2026-04-21,double_bottom,36.7,3.54,0.12,objectif,1,35-40
MX,2026-04-22,double_bottom,36.7,4.38,-0.06,stop,1,35-40
MX,2026-04-23,double_bottom,36.7,4.27,0.12,objectif,1,35-40
MX,2026-04-24,double_bottom,36.7,5.25,-0.06,stop,1,35-40
MX,2026-04-27,double_bottom,36.7,5.21,-0.06,stop,1,35-40
GDQMF,2026-02-06,pocket_pivot,36.6,1.74,-0.06,stop,2,35-40
GDQMF,2026-04-14,pocket_pivot,39.6,1.74,-0.06,stop,3,35-40
NTAP,2025-02-19,pocket_pivot,35.5,124.53,-0.06,stop,7,35-40
NTAP,2025-08-14,pocket_pivot,35.5,109.56,0.0699,horizon,10,35-40
NTAP,2025-08-28,pocket_pivot,36.0,117.22,0.0578,horizon,10,35-40
NTAP,2026-05-08,pocket_pivot,35.3,118.0,0.12,objectif,10,35-40
TSSI,2025-02-14,pocket_pivot,35.9,15.74,-0.06,stop,3,35-40
TSSI,2025-05-16,double_bottom,39.3,15.44,-0.06,stop,1,35-40
CCCC,2024-09-13,pocket_pivot,37.2,6.44,-0.06,stop,6,35-40
CCCC,2026-05-11,double_bottom,35.0,3.17,0.12,objectif,2,30-35
UIS,2024-10-08,pocket_pivot,40.7,5.91,0.12,objectif,1,40-45
UIS,2025-06-11,pocket_pivot,35.9,4.96,-0.06,stop,2,35-40
UIS,2026-05-05,pocket_pivot,36.2,2.84,-0.06,stop,1,35-40
PURR,2026-05-04,pocket_pivot,35.7,6.38,-0.06,stop,7,35-40
TKNO,2026-05-26,pocket_pivot,35.4,3.99,0.12,objectif,2,35-40
ASAN,2025-10-09,double_bottom,37.5,15.19,-0.06,stop,1,35-40
TBBB,2026-01-29,pocket_pivot,35.8,34.94,0.12,objectif,6,35-40
GRRR,2024-09-12,pocket_pivot,40.7,3.37,0.12,objectif,2,40-45
GRRR,2026-05-06,pocket_pivot,35.0,15.17,-0.06,stop,3,30-35
GRRR,2026-05-26,double_bottom,37.4,16.46,-0.06,stop,1,35-40
GRRR,2026-05-27,double_bottom,35.0,16.33,0.12,objectif,2,30-35
TEAM,2024-10-11,double_bottom,36.8,187.06,0.0089,horizon,10,35-40
TEAM,2024-12-04,bull_flag,37.1,287.5,-0.06,stop,4,35-40
TEAM,2025-01-28,pocket_pivot,38.1,274.71,0.12,objectif,3,35-40
QURE,2025-07-09,pocket_pivot,36.9,14.87,-0.06,stop,4,35-40
QURE,2025-07-17,pocket_pivot,37.5,15.2,-0.06,stop,3,35-40
QURE,2025-09-02,pocket_pivot,36.4,17.01,-0.06,stop,9,35-40
NOW,2024-08-30,pocket_pivot,38.4,171.0,0.0438,horizon,10,35-40
NOW,2024-09-19,pocket_pivot,35.5,183.85,-0.06,stop,9,35-40
NOW,2024-10-24,pocket_pivot,37.1,191.32,0.0614,horizon,10,35-40
NOW,2025-01-27,pocket_pivot,35.3,228.12,-0.06,stop,3,35-40
IMRX,2025-09-24,pocket_pivot,40.7,9.23,-0.06,stop,1,40-45
NXT,2025-09-19,double_bottom,40.7,71.35,0.12,objectif,10,40-45
SAIL,2025-07-29,pocket_pivot,40.7,21.68,-0.06,stop,3,40-45
SAIL,2025-09-05,pocket_pivot,36.9,21.98,-0.06,stop,2,35-40
AMPL,2024-11-06,pocket_pivot,35.0,9.97,0.0366,horizon,10,30-35
AMPL,2024-12-13,pocket_pivot,38.5,11.76,-0.06,stop,3,35-40
AMPL,2025-01-21,pocket_pivot,35.0,11.3,0.12,objectif,5,30-35
AMPL,2025-08-07,pocket_pivot,40.1,12.6,-0.06,stop,1,40-45
ZETA,2024-08-30,pocket_pivot,35.3,26.41,-0.06,stop,2,35-40
ZETA,2024-09-20,pocket_pivot,35.0,28.94,0.0726,horizon,10,30-35
ZETA,2024-10-11,pocket_pivot,35.3,31.67,-0.06,stop,5,35-40
ZETA,2025-08-05,pocket_pivot,35.6,15.87,0.12,objectif,1,35-40
ZETA,2025-09-19,pocket_pivot,35.5,21.49,-0.06,stop,4,35-40
MRAAY,2025-09-19,double_bottom,39.8,8.9,0.0809,horizon,10,35-40
MRAAY,2025-12-02,pocket_pivot,40.7,10.43,-0.0125,horizon,10,40-45
MRAAY,2026-01-15,double_bottom,38.3,10.63,-0.06,stop,10,35-40
MRAAY,2026-04-27,bull_flag,37.3,15.44,0.12,objectif,7,35-40
IBM,2024-08-30,pocket_pivot,37.0,202.13,0.0744,horizon,10,35-40
IBM,2024-11-25,double_bottom,38.3,226.13,0.0247,horizon,10,35-40
IBM,2025-01-29,pocket_pivot,35.7,228.63,0.12,objectif,1,35-40
IBM,2025-01-30,double_bottom,39.7,258.27,0.0036,horizon,10,35-40
IBM,2025-06-10,pocket_pivot,38.5,276.24,0.0536,horizon,10,35-40
IBM,2025-10-22,pocket_pivot,37.6,287.51,-0.06,stop,1,35-40
BAND,2024-10-31,pocket_pivot,40.7,19.5,-0.06,stop,2,40-45
BAND,2024-11-21,pocket_pivot,35.1,19.23,0.12,objectif,2,35-40
BAND,2025-07-28,pocket_pivot,38.3,16.21,-0.06,stop,1,35-40
BAND,2025-09-11,pocket_pivot,37.7,16.4,0.12,objectif,4,35-40
BAND,2026-04-15,pocket_pivot,36.3,19.19,0.12,objectif,2,35-40
HPE,2024-11-06,pocket_pivot,35.1,21.33,-0.007,horizon,10,35-40
HPE,2024-11-25,pocket_pivot,37.7,22.21,-0.06,stop,2,35-40
HPE,2025-01-06,pocket_pivot,40.7,22.85,-0.06,stop,4,40-45
HPE,2025-08-27,pocket_pivot,35.5,22.73,0.0937,horizon,10,35-40
HPE,2026-05-13,pocket_pivot,36.8,32.07,0.12,objectif,7,35-40
RPD,2024-10-29,double_bottom,37.8,41.6,0.0038,horizon,10,35-40
WDAY,2024-11-07,pocket_pivot,35.3,257.98,0.0391,horizon,10,35-40
WDAY,2025-02-05,pocket_pivot,40.7,276.17,-0.06,stop,5,40-45
WDAY,2025-05-12,pocket_pivot,38.6,266.57,-0.06,stop,9,35-40
ECX,2024-12-23,pocket_pivot,38.3,2.02,-0.06,stop,2,35-40
ECX,2025-10-08,pocket_pivot,37.7,2.33,-0.06,stop,2,35-40
ECX,2025-10-14,pocket_pivot,40.7,2.26,-0.06,stop,1,40-45
ECX,2025-10-22,pocket_pivot,36.1,2.39,-0.06,stop,8,35-40
TMCI,2024-11-25,pocket_pivot,40.1,8.29,-0.06,stop,7,40-45
TMCI,2025-02-04,pocket_pivot,39.2,10.51,-0.06,stop,5,35-40
TMCI,2025-09-09,pocket_pivot,35.8,7.4,-0.06,stop,1,35-40
TMCI,2026-05-14,bull_flag,35.2,2.77,-0.06,stop,2,35-40
ESTC,2025-01-23,pocket_pivot,35.3,104.09,0.12,objectif,3,35-40
AVBP,2025-11-26,bull_flag,35.8,23.05,-0.06,stop,3,35-40
INTA,2024-09-16,bull_flag,37.2,47.51,0.0067,horizon,10,35-40
INTA,2024-10-29,pocket_pivot,35.8,50.81,0.12,objectif,6,35-40
IMSR,2025-05-23,flat_base,41.5,11.75,-0.0221,horizon,10,40-45
IMSR,2025-09-19,double_bottom,40.3,13.5,0.12,objectif,2,40-45
IMSR,2025-09-23,double_bottom,40.3,15.78,0.12,objectif,1,40-45
IMSR,2025-09-24,double_bottom,39.8,17.62,-0.06,stop,1,35-40
IMSR,2025-09-25,double_bottom,36.1,15.79,0.12,objectif,6,35-40
IMSR,2025-10-10,double_bottom,35.8,18.86,0.12,objectif,1,35-40
IMSR,2025-10-14,double_bottom,37.3,24.98,0.12,objectif,1,35-40
IMSR,2025-10-15,double_bottom,40.3,27.1,-0.06,stop,1,40-45
IMSR,2025-10-16,double_bottom,36.7,23.26,0.12,objectif,1,35-40
IMSR,2025-10-17,double_bottom,35.0,25.92,-0.06,stop,1,30-35
IMSR,2025-10-20,double_bottom,35.6,22.69,-0.06,stop,1,35-40
IMSR,2026-05-14,pocket_pivot,35.1,8.15,-0.06,stop,1,35-40
IMSR,2026-05-22,pocket_pivot,35.5,7.62,0.12,objectif,2,35-40
RBRK,2024-11-21,vcp,35.8,49.12,0.12,objectif,10,35-40
RBRK,2025-05-05,pocket_pivot,35.2,74.67,0.12,objectif,6,35-40
CLBT,2024-10-07,double_bottom,37.3,17.68,0.0266,horizon,10,35-40
CLBT,2024-11-05,pocket_pivot,38.1,19.15,-0.06,stop,4,35-40
CLBT,2024-11-25,pocket_pivot,35.8,19.99,-0.005,horizon,10,35-40
CLBT,2025-01-28,pocket_pivot,35.5,24.17,0.0012,horizon,10,35-40
CLBT,2025-09-24,pocket_pivot,35.5,18.46,0.0287,horizon,10,35-40
CLBT,2025-10-10,pocket_pivot,38.0,19.1,-0.06,stop,5,35-40
HCHL,2025-12-15,pocket_pivot,37.9,3.88,-0.06,stop,6,35-40
HCHL,2026-01-06,pocket_pivot,35.4,4.13,-0.06,stop,1,35-40
HCHL,2026-01-07,pocket_pivot,36.3,4.2,0.12,objectif,10,35-40
CDZI,2024-11-01,flat_base,35.9,3.5,-0.06,stop,8,35-40
CDZI,2024-12-20,pocket_pivot,39.4,4.17,0.12,objectif,4,35-40
CDZI,2025-09-08,pocket_pivot,39.6,3.69,-0.06,stop,1,35-40
CDZI,2025-09-11,pocket_pivot,35.4,3.8,0.12,objectif,5,35-40
CDZI,2026-01-06,pocket_pivot,40.2,6.0,-0.06,stop,1,40-45
GTLB,2024-11-01,pocket_pivot,35.4,56.94,0.0515,horizon,10,35-40
GTLB,2024-11-21,pocket_pivot,37.1,64.8,0.12,objectif,10,35-40
GTLB,2024-12-06,pocket_pivot,38.4,67.19,-0.06,stop,2,35-40
GTLB,2025-10-16,pocket_pivot,37.9,48.27,-0.06,stop,1,35-40
HUBS,2024-10-24,pocket_pivot,35.3,554.31,0.12,objectif,10,35-40
HUBS,2025-01-27,pocket_pivot,36.9,758.43,0.0622,horizon,10,35-40
HUBS,2025-02-10,pocket_pivot,35.1,805.57,-0.06,stop,7,35-40
HUBS,2026-05-07,pocket_pivot,36.1,243.72,-0.06,stop,1,35-40
ORCL,2024-11-06,flat_base,37.1,181.24,0.0525,horizon,10,35-40
ORCL,2024-11-21,pocket_pivot,35.1,192.43,-0.06,stop,7,35-40
ORCL,2025-05-30,pocket_pivot,36.7,165.53,0.12,objectif,9,35-40
ORCL,2025-06-30,pocket_pivot,35.6,218.63,0.0747,horizon,10,35-40
ORCL,2025-07-31,pocket_pivot,35.5,253.77,-0.0347,horizon,10,35-40
ORCL,2025-09-09,pocket_pivot,39.3,241.51,0.12,objectif,1,35-40
IOT,2024-08-27,pocket_pivot,35.1,41.98,-0.06,stop,4,35-40
IOT,2024-10-10,pocket_pivot,35.9,50.61,-0.06,stop,8,35-40
IOT,2024-11-22,pocket_pivot,35.4,56.35,-0.06,stop,6,35-40
IOT,2025-06-02,pocket_pivot,35.2,46.64,-0.06,stop,4,35-40
IOT,2026-05-19,pocket_pivot,35.0,30.79,-0.06,stop,1,30-35
FDMT,2025-06-06,bull_flag,37.1,4.35,0.12,objectif,2,35-40
LPL,2025-05-13,pocket_pivot,40.7,3.23,-0.06,stop,7,40-45
LPL,2025-06-24,pocket_pivot,35.5,3.57,-0.06,stop,8,35-40
LPL,2025-07-24,pocket_pivot,40.7,3.59,0.12,objectif,8,40-45
LPL,2025-08-13,double_bottom,39.0,4.88,-0.06,stop,1,35-40
LPL,2025-09-15,pocket_pivot,38.3,4.5,0.12,objectif,8,35-40
LPL,2025-09-25,pocket_pivot,36.4,5.19,0.0559,horizon,10,35-40
TTAN,2025-05-09,pocket_pivot,37.5,124.22,-0.06,stop,10,35-40
TNGX,2024-08-30,pocket_pivot,35.6,11.83,-0.06,stop,1,35-40
TNGX,2026-02-03,pocket_pivot,35.2,12.55,-0.06,stop,1,35-40
TNGX,2026-04-13,pocket_pivot,36.8,21.56,0.12,objectif,2,35-40
CGNT,2024-12-05,pocket_pivot,35.7,8.75,-0.06,stop,4,35-40
CGNT,2025-02-04,pocket_pivot,37.3,10.05,-0.0169,horizon,10,35-40
CGNT,2025-05-19,pocket_pivot,37.6,10.47,0.0564,horizon,10,35-40
CGNT,2025-06-04,pocket_pivot,35.1,11.19,-0.06,stop,5,35-40
CGNT,2025-12-08,pocket_pivot,38.0,8.97,0.0747,horizon,10,35-40
DDOG,2024-11-07,pocket_pivot,36.7,129.79,-0.06,stop,2,35-40
DDOG,2024-11-19,double_bottom,36.6,133.41,0.12,objectif,3,35-40
DDOG,2024-11-22,double_bottom,40.7,154.83,0.0411,horizon,10,40-45
DDOG,2024-12-09,double_bottom,37.1,161.19,-0.06,stop,7,35-40
DDOG,2025-01-28,pocket_pivot,35.4,151.89,-0.06,stop,1,35-40
DDOG,2025-06-04,pocket_pivot,35.8,119.7,0.0864,horizon,10,35-40
DDOG,2025-06-18,pocket_pivot,35.3,130.04,0.12,objectif,10,35-40
CLS,2025-06-11,pocket_pivot,35.0,127.69,0.12,objectif,8,30-35
CLS,2026-01-27,double_bottom,35.9,333.17,-0.06,stop,2,35-40
CLS,2026-04-27,pocket_pivot,35.6,422.21,-0.06,stop,1,35-40
DSP,2026-01-15,pocket_pivot,35.4,11.94,-0.0101,horizon,10,35-40
DSP,2026-05-08,pocket_pivot,36.4,12.04,-0.06,stop,1,35-40
CMPS,2025-09-04,double_bottom,37.2,5.1,-0.0039,horizon,10,35-40
CMPS,2025-09-24,pocket_pivot,35.8,5.54,0.12,objectif,7,35-40
CMPS,2026-05-18,pocket_pivot,36.2,10.56,-0.06,stop,1,35-40
SHIP,2024-09-20,pocket_pivot,35.6,11.34,0.0741,horizon,10,35-40
SHIP,2025-07-23,pocket_pivot,40.7,7.0,0.0657,horizon,10,40-45
SHIP,2025-08-06,pocket_pivot,36.9,7.46,-0.0107,horizon,10,35-40
SHIP,2025-08-22,pocket_pivot,39.1,7.81,0.0448,horizon,10,35-40
SHIP,2025-11-13,pocket_pivot,38.8,9.23,0.12,objectif,10,35-40
SHIP,2026-01-27,pocket_pivot,36.2,10.29,0.0739,horizon,10,35-40
SHIP,2026-02-11,pocket_pivot,40.3,11.62,0.12,objectif,4,40-45
SHIP,2026-05-01,pocket_pivot,37.3,15.47,0.0252,horizon,10,35-40
PANW,2024-10-08,pocket_pivot,35.0,177.57,0.059,horizon,10,30-35
PANW,2026-05-07,pocket_pivot,36.0,196.53,0.12,objectif,4,35-40
FROG,2025-02-13,pocket_pivot,36.4,37.71,0.12,objectif,1,35-40
FROG,2025-06-02,bull_flag,40.2,44.55,-0.06,stop,1,40-45
FROG,2025-07-30,pocket_pivot,40.4,45.14,-0.06,stop,2,40-45
FROG,2025-08-28,pocket_pivot,36.4,50.07,-0.06,stop,3,35-40
FROG,2025-09-08,pocket_pivot,35.6,50.43,-0.0048,horizon,10,35-40
FROG,2025-12-05,pocket_pivot,36.1,64.77,0.0315,horizon,10,35-40
VRRM,2025-02-18,pocket_pivot,39.3,26.55,-0.06,stop,8,35-40
VRRM,2025-06-24,pocket_pivot,37.2,25.19,0.006,horizon,10,35-40
AEVA,2024-08-28,pocket_pivot,35.0,3.18,-0.06,stop,3,30-35
AEVA,2024-11-06,pocket_pivot,37.1,4.31,-0.06,stop,1,35-40
AEVA,2024-12-09,pocket_pivot,35.4,4.78,-0.06,stop,1,35-40
LOGI,2025-01-27,pocket_pivot,35.1,91.99,0.0928,horizon,10,35-40
LOGI,2025-10-29,pocket_pivot,36.3,115.84,0.0457,horizon,10,35-40
